action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9992,69.5,1,0,0,0,0.04,0.22,0.24,0.23,4,1,0,0,0,0
9993,69.5,1,0,0,0,0.38,0.35,0.22,0.35,5,0,0,1,69.5,1.5
9994,71,1,0,0,0,0,0.05,0.11,0.07,6,0,0,1,1.5,1.5
9995,72.5,1,0,0,0,0.34,0.31,0.44,0.44,2,1,0,0,0,0
9996,72.5,1,0,0,0,1,0.93,0.87,0.73,3,1,0,0,0,0
9997,72.5,1,0,0,0,0,0.18,0.17,0.29,4,0,0,1,3,-3
9998,69.5,1,0,0,0,0.12,0.23,0.36,0.4,2,1,0,0,0,-3
9999,69.5,1,0,0,0,0.17,0.34,0.2,0.2,5,0,0,1,3,1.5
10000,71,1,0,0,0,0.16,0.25,0.12,0.23,6,1,0,0,0,0
10001,71,1,0,0,0,0.75,0.46,0.5,0.41,3,0,0,1,13.5,4.5
10002,75.5,1,0,0,0,0.05,0.15,0.24,0.24,3,1,0,0,0,0
10003,75.5,1,0,0,0,0.68,0.35,0.32,0.3,4,1,0,0,0,0
10004,75.5,1,0,0,0,0.28,0.17,0.17,0.21,5,1,0,0,0,0
10005,75.5,1,0,0,0,0.01,0.16,0.14,0.14,6,0,0,1,1.5,1.5
10006,77,1,0,0,0,0.46,0.53,0.56,0.58,2,0,0,1,3,1.5
10007,78.5,1,0,0,0,0.04,0.16,0.24,0.26,4,1,0,0,0,0
10008,78.5,1,0,0,0,0,0.27,0.23,0.19,4,1,0,0,0,0
10009,78.5,1,0,0,0,0.01,0.08,0.1,0.17,5,0,0,1,3,1.5
10010,80,1,0,0,0,0.03,0.1,0.1,0.12,6,1,0,0,0,0
10011,79,1,0,0,0,0.37,0.54,0.44,0.43,2,1,0,0,0,0
10012,78.5,1,0,0,0,0.85,0.73,0.66,0.63,2,0,0,1,3,1.5
